Country,Region,Year,ID,PA,FA,BA,Rep,LM,EC,FC,BC,Const,SR,ShR,RAI
Ghana,Local Gov.,1992,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,1993,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,1994,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,1995,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,1996,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,1997,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,1998,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,1999,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2000,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2001,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2002,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2003,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2004,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2005,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2006,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2007,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2008,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2009,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2010,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2011,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2012,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2013,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2014,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2015,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2016,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2017,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2018,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2019,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2020,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2021,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2022,2,2,1,1,2,0,0,1,0,0,8,1,9
Ghana,Local Gov.,2023,2,2,1,1,2,0,0,1,0,0,8,1,9
